"id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree","compas_decile_score","two_year_recid","compas_guess","compas_correct","mturk_charge","drug_type","aggregated","weapon","drug_interaction"
99,6,0,33,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
100,2,1,56,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
101,3,0,45,0,0,6,306,1,1,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
102,3,0,22,0,0,1,64,1,4,0,0,1,"Burglary",NA,"Burglary",NA,NA
105,2,0,39,0,0,1,28,0,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
107,2,0,29,0,0,5,162,1,6,1,1,1,"Fraud",NA,"Fraud/Forgery",NA,NA
108,1,0,27,0,0,1,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
111,2,0,40,0,0,2,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
113,2,0,22,0,0,1,45,0,3,1,0,0,"Battery",NA,"Battery",FALSE,NA
114,1,0,22,0,0,0,190,1,8,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
115,2,1,26,0,0,1,252,1,4,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
116,1,0,27,0,0,1,60,1,7,1,1,1,"Burglary",NA,"Burglary",NA,NA
119,2,0,32,0,0,0,169,1,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
120,2,0,41,0,0,1,28,0,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
122,2,0,30,0,0,8,283,0,10,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
127,6,0,50,0,0,0,28,1,1,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
128,2,0,25,1,6,14,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
130,6,0,20,0,0,0,379,1,5,1,1,1,"Tampering With Physical Evidence",NA,"Obstruction of Justice",NA,NA
131,2,0,22,1,0,2,40,1,9,1,1,1,"Burglary",NA,"Burglary",NA,NA
132,2,0,23,0,0,2,28,0,7,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
136,2,1,35,0,0,1,28,0,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
137,2,0,36,0,0,9,112,1,7,1,1,1,"Dealing Cocaine","Cocaine","Drug-Related",NA,"Dealing"
138,1,0,26,0,0,7,292,1,8,1,1,1,"Burglary",NA,"Burglary",NA,NA
139,6,0,21,0,0,1,190,1,6,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
142,1,0,25,0,0,9,246,1,8,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
143,2,0,71,0,0,12,283,0,7,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
145,1,1,20,0,0,0,280,1,7,0,1,0,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
146,1,0,39,0,0,2,297,1,1,1,0,0,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
147,1,0,66,0,0,3,178,1,1,0,0,1,"Fleeing a Law Enforcement Officer",NA,"Fleeing and Aiding Escape",NA,NA
148,1,1,54,0,0,0,133,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
150,3,1,44,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
151,2,0,19,0,0,1,45,0,4,1,0,0,"Battery",NA,"Battery",FALSE,NA
152,2,0,24,0,0,1,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
153,2,0,30,0,0,1,152,1,2,0,0,1,"Failure to Redeliver Hired or Leased Property",NA,"Other",NA,NA
154,1,1,39,0,0,0,15,1,1,1,0,0,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
156,1,0,24,0,1,8,163,1,6,1,1,1,"Fraud",NA,"Fraud/Forgery",NA,NA
157,1,0,30,0,0,0,317,1,4,0,0,1,"Possession of Meth","Meth","Drug-Related",NA,"Possession"
158,1,0,31,0,0,0,45,0,5,0,1,0,"Battery",NA,"Battery",FALSE,NA
159,1,1,39,0,0,1,318,1,4,0,0,1,"Possession of Morphine","Morphine","Drug-Related",NA,"Possession"
160,2,0,59,0,0,14,28,1,9,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
163,1,0,43,0,0,1,306,1,1,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
166,2,0,21,0,0,3,190,1,9,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
169,1,0,38,0,0,5,283,0,4,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
171,1,0,34,0,0,0,16,1,5,0,1,0,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
173,2,0,33,0,0,5,253,1,5,1,1,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
174,2,0,37,0,0,3,280,1,2,0,0,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
175,1,0,42,0,0,1,13,1,2,1,0,0,"Stalking",NA,"Stalking",NA,NA
176,2,0,41,0,1,10,306,1,9,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
177,2,0,22,0,0,0,418,1,4,1,0,0,"Forgery",NA,"Fraud/Forgery",NA,NA
178,2,0,33,0,12,28,129,1,8,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
180,2,0,31,0,0,1,45,0,7,0,1,0,"Battery",NA,"Battery",FALSE,NA
182,6,1,30,0,0,1,89,1,2,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
183,1,0,31,0,0,13,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
184,2,0,27,0,0,3,306,1,9,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
187,2,0,56,0,0,8,28,1,9,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
189,1,0,52,0,0,3,45,0,9,0,1,0,"Battery",NA,"Battery",FALSE,NA
190,2,0,33,0,0,19,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
192,1,1,64,0,0,2,337,0,1,0,0,1,"Resisting an Officer",NA,"Resisting",NA,NA
193,1,0,22,0,0,4,297,1,6,1,1,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
194,1,0,42,0,0,6,297,1,3,0,0,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
195,1,1,25,0,0,2,28,1,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
197,1,0,30,0,0,1,7,0,2,0,0,1,"Assault",NA,"Assault",FALSE,NA
199,1,0,28,0,0,2,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
200,6,1,37,0,0,2,242,0,2,0,0,1,"Theft",NA,"Robbery/Theft",FALSE,NA
202,1,0,28,0,0,0,123,0,2,1,0,0,"Disorderly Intoxication",NA,"Non-DUI, Alcohol-Related",NA,NA
203,2,1,24,0,0,0,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
206,1,1,29,0,1,10,190,1,4,1,0,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
208,1,0,44,0,0,2,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
209,3,1,30,0,0,4,49,1,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
210,2,0,32,0,0,3,306,1,7,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
213,1,0,31,0,0,2,337,0,3,1,0,0,"Resisting an Officer",NA,"Resisting",NA,NA
215,2,0,31,0,0,1,215,0,2,0,0,1,"Child Molestation",NA,"Sex Crimes",NA,NA
216,1,0,59,0,0,1,306,1,2,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
218,1,1,45,0,0,4,28,1,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
220,2,1,20,1,0,1,28,1,10,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
222,1,1,43,0,0,0,133,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
223,2,0,38,1,1,9,306,1,8,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
224,2,0,32,0,0,11,268,1,6,1,1,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
225,2,0,33,0,0,8,31,0,5,1,1,1,"Assault",NA,"Assault",FALSE,NA
227,2,1,31,0,0,0,319,1,3,1,0,0,"Possession of Oxycodone","Oxycodone","Drug-Related",NA,"Possession"
228,2,1,33,0,0,7,306,1,9,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
229,2,0,27,0,0,2,379,1,9,1,1,1,"Tampering With Physical Evidence",NA,"Obstruction of Justice",NA,NA
231,2,1,20,0,0,0,190,1,6,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
232,1,1,26,0,0,0,151,0,6,0,1,0,"Failure to Obey Police Officer",NA,"Resisting",NA,NA
234,2,1,61,0,0,1,365,1,1,1,0,0,"Purchasing Cocaine","Cocaine","Drug-Related",NA,"Purchasing"
235,6,0,52,0,0,13,175,1,7,1,1,1,"Theft",NA,"Robbery/Theft",FALSE,NA
236,3,0,63,0,0,1,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
238,2,1,32,0,0,4,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
239,3,0,29,0,0,1,190,1,4,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
240,6,1,46,0,0,1,189,1,2,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
241,2,1,26,0,0,2,128,0,4,1,0,0,"Driving Under the Influence",NA,"DUI",NA,NA
242,2,0,55,0,0,3,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
243,1,0,39,1,0,1,28,0,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
244,1,1,30,0,0,3,304,1,7,1,1,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
245,2,0,30,0,0,1,56,1,7,0,1,0,"Burglary",NA,"Burglary",NA,NA
246,1,0,48,0,0,2,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
248,2,0,22,0,0,1,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
249,1,0,46,0,0,6,129,1,1,1,0,0,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
251,1,1,49,0,0,6,89,1,6,0,1,0,"Forgery",NA,"Fraud/Forgery",NA,NA
252,1,0,31,0,0,0,108,1,5,0,1,0,"Dealing Controlled Substances","Controlled Substance","Drug-Related",NA,"Dealing"
254,2,0,25,0,0,1,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
257,3,0,23,0,0,0,280,1,3,0,0,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
258,2,1,32,0,0,5,15,1,7,0,1,0,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
259,3,0,52,0,0,2,206,0,1,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
260,2,0,62,0,0,8,306,1,4,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
262,1,1,37,0,0,6,306,1,10,0,1,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
263,1,0,55,0,0,1,190,1,1,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
264,3,0,31,0,0,8,28,1,9,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
265,2,0,28,0,0,6,337,0,6,1,1,1,"Resisting an Officer",NA,"Resisting",NA,NA
266,3,0,54,0,0,2,65,1,1,0,0,1,"Burglary",NA,"Burglary",NA,NA
267,3,0,58,0,0,0,311,1,2,0,0,1,"Possession of Heroin","Heroin","Drug-Related",NA,"Possession"
268,1,0,78,0,0,1,128,0,1,1,0,0,"Driving Under the Influence",NA,"DUI",NA,NA
269,1,0,56,0,0,0,306,1,1,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
271,6,0,24,0,0,0,65,1,2,0,0,1,"Burglary",NA,"Burglary",NA,NA
272,2,0,38,2,2,22,74,1,8,1,1,1,"Child Abuse",NA,"Abuse",NA,NA
275,2,0,22,0,0,1,246,1,5,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
277,2,0,47,0,0,23,283,0,8,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
278,2,0,23,0,0,0,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
279,3,0,57,0,0,1,129,1,1,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
280,1,1,38,0,0,2,306,1,5,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
281,2,0,66,0,0,3,6,1,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
282,1,0,45,0,0,8,423,0,4,1,0,0,"Domestic Violence",NA,"Abuse",NA,NA
285,6,1,52,0,0,0,28,0,3,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
286,2,0,32,0,0,13,252,1,10,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
287,2,0,37,0,0,2,45,0,9,1,1,1,"Battery",NA,"Battery",FALSE,NA
288,1,0,39,0,0,0,317,1,4,1,0,0,"Possession of Meth","Meth","Drug-Related",NA,"Possession"
289,2,0,26,0,0,9,112,1,9,1,1,1,"Dealing Cocaine","Cocaine","Drug-Related",NA,"Dealing"
291,1,0,45,0,0,2,211,1,3,0,0,1,"Child Molestation",NA,"Sex Crimes",NA,NA
293,2,0,23,0,0,0,303,1,3,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
294,2,0,34,0,0,2,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
297,2,1,23,0,0,1,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
298,6,0,36,0,0,2,45,0,3,1,0,0,"Battery",NA,"Battery",FALSE,NA
299,1,0,50,0,0,1,359,1,1,0,0,1,"Child Molestation",NA,"Sex Crimes",NA,NA
300,1,1,37,0,0,0,208,0,3,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
301,1,0,44,0,0,4,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
302,2,1,35,0,1,23,175,1,9,1,1,1,"Theft",NA,"Robbery/Theft",FALSE,NA
304,6,0,24,0,0,5,28,1,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
306,2,0,26,0,0,2,179,1,10,1,1,1,"Fleeing a Law Enforcement Officer",NA,"Fleeing and Aiding Escape",NA,NA
308,2,0,27,0,0,0,92,0,2,0,0,1,"Criminal Damage of less than $1000",NA,"Criminal Damage",NA,NA
310,2,1,28,0,0,0,10,1,8,0,1,0,"Battery with a Deadly Weapon",NA,"Battery",TRUE,NA
311,1,0,43,0,0,11,28,1,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
313,1,1,28,0,0,7,175,1,9,1,1,1,"Theft",NA,"Robbery/Theft",FALSE,NA
315,2,0,38,0,0,2,129,1,1,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
316,1,0,27,0,0,2,397,0,4,0,0,1,"Trespassing",NA,"Trespassing",NA,NA
317,2,1,28,0,0,1,28,1,9,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
319,1,0,56,0,0,7,172,1,1,1,0,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
320,2,0,38,0,0,15,306,1,9,0,1,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
321,2,0,28,0,0,2,283,0,5,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
322,2,0,45,0,0,3,28,1,6,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
323,3,0,28,0,0,0,134,0,2,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
325,1,0,61,0,0,1,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
326,1,1,51,0,0,0,128,0,1,1,0,0,"Driving Under the Influence",NA,"DUI",NA,NA
327,1,0,51,0,0,0,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
329,6,0,36,0,0,1,283,0,1,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
330,2,0,48,0,0,0,20,1,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
331,1,0,37,0,0,4,28,1,3,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
332,2,1,30,0,0,2,190,1,7,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
333,2,1,41,0,0,5,45,0,6,0,1,0,"Battery",NA,"Battery",FALSE,NA
334,2,0,27,0,0,11,342,1,10,1,1,1,"Robbery",NA,"Robbery/Theft",FALSE,NA
335,2,0,37,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
336,6,0,33,0,0,4,16,1,4,1,0,0,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
337,2,0,54,0,0,11,186,1,9,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
338,2,0,23,0,0,2,343,1,9,0,1,0,"Robbery with a Weapon",NA,"Robbery/Theft",TRUE,NA
341,2,1,26,0,0,2,28,1,4,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
344,2,0,41,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
345,1,0,52,0,0,0,66,1,1,0,0,1,"Burglary",NA,"Burglary",NA,NA
347,1,0,43,0,0,13,129,1,4,1,0,0,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
348,2,0,52,0,0,0,418,1,4,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
349,1,0,28,0,0,1,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
350,2,0,30,0,0,11,45,0,9,1,1,1,"Battery",NA,"Battery",FALSE,NA
351,1,0,28,0,0,1,92,1,5,0,1,0,"Criminal Damage of less than $1000",NA,"Criminal Damage",NA,NA
354,2,0,22,0,0,0,246,1,4,0,0,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
355,2,0,30,0,0,4,129,1,2,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
356,3,0,25,0,0,4,303,1,4,0,0,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
357,1,0,31,0,0,0,65,1,8,1,1,1,"Burglary",NA,"Burglary",NA,NA
358,1,0,37,0,0,0,190,1,2,1,0,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
359,2,0,32,0,1,14,21,1,9,0,1,0,"Assault",NA,"Assault",FALSE,NA
360,2,0,26,0,1,4,283,0,8,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
361,1,0,53,0,0,1,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
362,2,0,28,0,0,25,28,1,8,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
363,1,0,44,0,0,8,45,0,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
364,2,0,25,0,0,0,190,1,3,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
366,1,0,22,0,0,1,430,0,8,1,1,1,"Voyeurism",NA,"Sex Crimes",NA,NA
369,6,1,37,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
372,6,1,40,0,0,3,129,1,2,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
374,1,0,36,0,0,8,172,1,7,1,1,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
